Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/Update with invalid input""))",,,,2022-12-21 16:03:17,2022-12-21 16:03:18,0.560s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:18,2022-12-21 16:03:18,0.006s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/Update with invalid Token""))",,,,2022-12-21 16:03:18,2022-12-21 16:03:18,0.460s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:18,2022-12-21 16:03:18,0.004s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/With POST Method""))",,,,2022-12-21 16:03:18,2022-12-21 16:03:18,0.449s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:18,2022-12-21 16:03:18,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/Update class/With PUT Method""))",,,,2022-12-21 16:03:18,2022-12-21 16:03:19,0.425s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:19,2022-12-21 16:03:19,0.002s,PASSED
,,,,,,,
Test Cases/Booking/Online Class/TC_GetAllClass,,,,2022-12-21 16:03:19,2022-12-21 16:03:21,2.421s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:19,2022-12-21 16:03:20,0.485s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:03:20,2022-12-21 16:03:20,0.005s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:03:20,2022-12-21 16:03:20,0.001s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:03:20,2022-12-21 16:03:20,0.001s,PASSED
Token = access_token,,,,2022-12-21 16:03:20,2022-12-21 16:03:20,0.002s,PASSED
globalVar = Token,,,,2022-12-21 16:03:20,2022-12-21 16:03:20,0.001s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/get all booking class""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:20,2022-12-21 16:03:20,0.495s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:03:20,2022-12-21 16:03:20,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/With PATCH Method""))",,,,2022-12-21 16:03:20,2022-12-21 16:03:21,0.412s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:21,2022-12-21 16:03:21,0.004s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/With POST Method""))",,,,2022-12-21 16:03:21,2022-12-21 16:03:21,0.415s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:21,2022-12-21 16:03:21,0.004s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/With PUT Method""))",,,,2022-12-21 16:03:21,2022-12-21 16:03:21,0.346s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:21,2022-12-21 16:03:21,0.002s,PASSED
,,,,,,,
Test Cases/Booking/Online Class/TC_Update,,,,2022-12-21 16:03:21,2022-12-21 16:03:24,2.953s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.445s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.004s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.000s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.001s,PASSED
Token = access_token,,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.001s,PASSED
globalVar = Token,,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.000s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/Update class with valid input""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.424s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:22,2022-12-21 16:03:22,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/Update with invalid input""))",,,,2022-12-21 16:03:22,2022-12-21 16:03:23,0.406s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:23,2022-12-21 16:03:23,0.003s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/Update with invalid Token""))",,,,2022-12-21 16:03:23,2022-12-21 16:03:23,0.392s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:23,2022-12-21 16:03:23,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/With POST Method""))",,,,2022-12-21 16:03:23,2022-12-21 16:03:24,0.625s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:24,2022-12-21 16:03:24,0.004s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/With PUT Method""))",,,,2022-12-21 16:03:24,2022-12-21 16:03:24,0.405s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:03:24,2022-12-21 16:03:24,0.002s,PASSED
,,,,,,,
Test Cases/Booking/Online Class/TC_Create,,,,2022-12-21 16:03:24,2022-12-21 16:03:26,1.830s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.380s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.002s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.001s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.001s,PASSED
Token = access_token,,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.000s,PASSED
globalVar = Token,,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.000s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/create book online/Create class with valid input""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.419s,PASSED
"verifyResponseStatusCode(response, StatusCode201)",,,,2022-12-21 16:03:25,2022-12-21 16:03:25,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/create book online/Create with invalid input""))",,,,2022-12-21 16:03:25,2022-12-21 16:03:26,0.400s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:26,2022-12-21 16:03:26,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/create book online/Create with invalid Token""))",,,,2022-12-21 16:03:26,2022-12-21 16:03:26,0.371s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:03:26,2022-12-21 16:03:26,0.003s,PASSED
